RealTime,HostTimestamp (ms),Glider Turning
2017-05-09 17:00:05.039,129039,0
2017-05-09 17:00:05.139,129139,0
2017-05-09 17:00:05.239,129239,0
2017-05-09 17:00:05.339,129339,0
2017-05-09 17:00:05.439,129439,0
2017-05-09 17:00:05.539,129539,0
2017-05-09 17:00:05.639,129639,0
2017-05-09 17:00:05.739,129739,0
2017-05-09 17:00:05.839,129839,0
2017-05-09 17:00:05.939,129939,0
2017-05-09 17:00:06.039,130039,0
2017-05-09 17:00:06.139,130139,0
2017-05-09 17:00:06.239,130239,0
2017-05-09 17:00:06.339,130339,0
2017-05-09 17:00:06.439,130439,0
2017-05-09 17:00:06.539,130539,0
2017-05-09 17:00:06.639,130639,0
2017-05-09 17:00:06.739,130739,0
2017-05-09 17:00:06.839,130839,0
2017-05-09 17:00:06.939,130939,0
2017-05-09 17:00:07.039,131039,0
2017-05-09 17:00:07.139,131139,0
2017-05-09 17:00:07.239,131239,0
2017-05-09 17:00:07.339,131339,0
2017-05-09 17:00:07.439,131439,0
2017-05-09 17:00:07.539,131539,0
2017-05-09 17:00:07.639,131639,0
2017-05-09 17:00:07.739,131739,0
2017-05-09 17:00:07.839,131839,0
2017-05-09 17:00:07.939,131939,0
2017-05-09 17:00:08.039,132039,0
2017-05-09 17:00:08.139,132139,0
2017-05-09 17:00:08.239,132239,0
2017-05-09 17:00:08.339,132339,0
2017-05-09 17:00:08.439,132439,0
2017-05-09 17:00:08.539,132539,0
2017-05-09 17:00:08.639,132639,0
2017-05-09 17:00:08.739,132739,0
2017-05-09 17:00:08.839,132839,0
2017-05-09 17:00:08.939,132939,0
2017-05-09 17:00:09.039,133039,0
2017-05-09 17:00:09.139,133139,0
2017-05-09 17:00:09.239,133239,0
2017-05-09 17:00:09.339,133339,0
2017-05-09 17:00:09.439,133439,0
2017-05-09 17:00:09.539,133539,0
2017-05-09 17:00:09.639,133639,0
2017-05-09 17:00:09.739,133739,0
2017-05-09 17:00:09.839,133839,0
2017-05-09 17:00:09.939,133939,0
2017-05-09 17:00:10.039,134039,0
2017-05-09 17:00:10.139,134139,0
2017-05-09 17:00:10.239,134239,0
2017-05-09 17:00:10.339,134339,0
2017-05-09 17:00:10.439,134439,0
2017-05-09 17:00:10.539,134539,0
2017-05-09 17:00:10.639,134639,0
2017-05-09 17:00:10.739,134739,0
2017-05-09 17:00:10.839,134839,0
2017-05-09 17:00:10.939,134939,0
2017-05-09 17:00:11.039,135039,0
2017-05-09 17:00:11.139,135139,0
2017-05-09 17:00:11.239,135239,0
2017-05-09 17:00:11.339,135339,0
2017-05-09 17:00:11.439,135439,0
2017-05-09 17:00:11.539,135539,0
2017-05-09 17:00:11.639,135639,0
2017-05-09 17:00:11.739,135739,0
2017-05-09 17:00:11.839,135839,0
2017-05-09 17:00:11.939,135939,0
2017-05-09 17:00:12.039,136039,0
2017-05-09 17:00:12.139,136139,0
2017-05-09 17:00:12.239,136239,0
2017-05-09 17:00:12.339,136339,0
2017-05-09 17:00:12.439,136439,0
2017-05-09 17:00:12.539,136539,0
2017-05-09 17:00:12.639,136639,0
2017-05-09 17:00:12.739,136739,0
2017-05-09 17:00:12.839,136839,0
2017-05-09 17:00:12.939,136939,0
2017-05-09 17:00:13.039,137039,0
2017-05-09 17:00:13.139,137139,0
2017-05-09 17:00:13.239,137239,0
2017-05-09 17:00:13.339,137339,0
2017-05-09 17:00:13.439,137439,0
2017-05-09 17:00:13.539,137539,0
2017-05-09 17:00:13.639,137639,0
2017-05-09 17:00:13.739,137739,0
2017-05-09 17:00:13.839,137839,0
2017-05-09 17:00:13.939,137939,0
2017-05-09 17:00:14.039,138039,0
2017-05-09 17:00:14.139,138139,0
2017-05-09 17:00:14.239,138239,0
2017-05-09 17:00:14.339,138339,0
2017-05-09 17:00:14.439,138439,0
2017-05-09 17:00:14.539,138539,0
2017-05-09 17:00:14.639,138639,0
2017-05-09 17:00:14.739,138739,0
2017-05-09 17:00:14.839,138839,0
2017-05-09 17:00:14.939,138939,0
2017-05-09 17:00:15.039,139039,0
2017-05-09 17:00:15.139,139139,0
2017-05-09 17:00:15.239,139239,0
2017-05-09 17:00:15.339,139339,0
2017-05-09 17:00:15.439,139439,0
2017-05-09 17:00:15.539,139539,0
2017-05-09 17:00:15.639,139639,0
2017-05-09 17:00:15.739,139739,0
2017-05-09 17:00:15.839,139839,0
2017-05-09 17:00:15.939,139939,0
2017-05-09 17:00:16.039,140039,0
2017-05-09 17:00:16.139,140139,0
2017-05-09 17:00:16.239,140239,0
2017-05-09 17:00:16.339,140339,0
2017-05-09 17:00:16.439,140439,0
2017-05-09 17:00:16.539,140539,0
2017-05-09 17:00:16.639,140639,0
2017-05-09 17:00:16.739,140739,0
2017-05-09 17:00:16.839,140839,0
2017-05-09 17:00:16.939,140939,0
2017-05-09 17:00:17.039,141039,0
2017-05-09 17:00:17.139,141139,0
2017-05-09 17:00:17.239,141239,0
2017-05-09 17:00:17.339,141339,0
2017-05-09 17:00:17.439,141439,0
2017-05-09 17:00:17.539,141539,0
2017-05-09 17:00:17.639,141639,0
2017-05-09 17:00:17.739,141739,0
2017-05-09 17:00:17.839,141839,0
2017-05-09 17:00:17.939,141939,0
2017-05-09 17:00:18.039,142039,0
2017-05-09 17:00:18.139,142139,0
2017-05-09 17:00:18.239,142239,0
2017-05-09 17:00:18.339,142339,0
2017-05-09 17:00:18.439,142439,0
2017-05-09 17:00:18.539,142539,0
2017-05-09 17:00:18.639,142639,0
2017-05-09 17:00:18.739,142739,0
2017-05-09 17:00:18.839,142839,0
2017-05-09 17:00:18.939,142939,0
2017-05-09 17:00:19.039,143039,0
2017-05-09 17:00:19.139,143139,0
2017-05-09 17:00:19.239,143239,0
2017-05-09 17:00:19.339,143339,0
2017-05-09 17:00:19.439,143439,0
2017-05-09 17:00:19.539,143539,0
2017-05-09 17:00:19.639,143639,0
2017-05-09 17:00:19.739,143739,0
2017-05-09 17:00:19.839,143839,0
2017-05-09 17:00:19.939,143939,0
2017-05-09 17:00:20.039,144039,0
2017-05-09 17:00:20.139,144139,0
2017-05-09 17:00:20.239,144239,0
2017-05-09 17:00:20.339,144339,0
2017-05-09 17:00:20.439,144439,0
2017-05-09 17:00:20.539,144539,0
2017-05-09 17:00:20.639,144639,0
2017-05-09 17:00:20.739,144739,0
2017-05-09 17:00:20.839,144839,0
2017-05-09 17:00:20.939,144939,0
2017-05-09 17:00:21.039,145039,0
2017-05-09 17:00:21.139,145139,0
2017-05-09 17:00:21.239,145239,0
2017-05-09 17:00:21.339,145339,0
2017-05-09 17:00:21.439,145439,0
2017-05-09 17:00:21.539,145539,0
2017-05-09 17:00:21.639,145639,0
2017-05-09 17:00:21.739,145739,0
2017-05-09 17:00:21.839,145839,0
2017-05-09 17:00:21.939,145939,0
2017-05-09 17:00:22.039,146039,0
2017-05-09 17:00:22.139,146139,0
2017-05-09 17:00:22.239,146239,0
2017-05-09 17:00:22.339,146339,0
2017-05-09 17:00:22.439,146439,0
2017-05-09 17:00:22.539,146539,0
2017-05-09 17:00:22.639,146639,0
2017-05-09 17:00:22.739,146739,0
2017-05-09 17:00:22.839,146839,0
2017-05-09 17:00:22.939,146939,0
2017-05-09 17:00:23.039,147039,0
2017-05-09 17:00:23.139,147139,0
2017-05-09 17:00:23.239,147239,0
2017-05-09 17:00:23.339,147339,0
2017-05-09 17:00:23.439,147439,0
2017-05-09 17:00:23.539,147539,0
2017-05-09 17:00:23.639,147639,0
2017-05-09 17:00:23.739,147739,0
2017-05-09 17:00:23.839,147839,0
2017-05-09 17:00:23.939,147939,0
2017-05-09 17:00:24.039,148039,0
2017-05-09 17:00:24.139,148139,0
2017-05-09 17:00:24.239,148239,0
2017-05-09 17:00:24.339,148339,0
2017-05-09 17:00:24.439,148439,0
2017-05-09 17:00:24.539,148539,0
2017-05-09 17:00:24.639,148639,0
2017-05-09 17:00:24.739,148739,0
2017-05-09 17:00:24.839,148839,0
2017-05-09 17:00:24.939,148939,0
2017-05-09 17:00:25.039,149039,0
2017-05-09 17:00:25.139,149139,0
2017-05-09 17:00:25.239,149239,0
2017-05-09 17:00:25.339,149339,0
2017-05-09 17:00:25.439,149439,0
2017-05-09 17:00:25.539,149539,0
2017-05-09 17:00:25.639,149639,0
2017-05-09 17:00:25.739,149739,0
2017-05-09 17:00:25.839,149839,0
2017-05-09 17:00:25.939,149939,0
2017-05-09 17:00:26.039,150039,0
2017-05-09 17:00:26.139,150139,0
2017-05-09 17:00:26.239,150239,0
2017-05-09 17:00:26.339,150339,0
2017-05-09 17:00:26.439,150439,0
2017-05-09 17:00:26.539,150539,0
2017-05-09 17:00:26.639,150639,0
2017-05-09 17:00:26.739,150739,0
2017-05-09 17:00:26.839,150839,0
2017-05-09 17:00:26.939,150939,0
2017-05-09 17:00:27.039,151039,0
2017-05-09 17:00:27.139,151139,0
2017-05-09 17:00:27.239,151239,0
2017-05-09 17:00:27.339,151339,0
2017-05-09 17:00:27.439,151439,0
2017-05-09 17:00:27.539,151539,0
2017-05-09 17:00:27.639,151639,0
2017-05-09 17:00:27.739,151739,0
2017-05-09 17:00:27.839,151839,0
2017-05-09 17:00:27.939,151939,0
2017-05-09 17:00:28.039,152039,0
2017-05-09 17:00:28.139,152139,0
2017-05-09 17:00:28.239,152239,0
2017-05-09 17:00:28.339,152339,0
2017-05-09 17:00:28.439,152439,0
2017-05-09 17:00:28.539,152539,0
2017-05-09 17:00:28.639,152639,0
2017-05-09 17:00:28.739,152739,0
2017-05-09 17:00:28.839,152839,0
2017-05-09 17:00:28.939,152939,0
2017-05-09 17:00:29.039,153039,0
2017-05-09 17:00:29.139,153139,0
2017-05-09 17:00:29.239,153239,0
2017-05-09 17:00:29.339,153339,0
2017-05-09 17:00:29.439,153439,0
2017-05-09 17:00:29.539,153539,0
2017-05-09 17:00:29.639,153639,0
2017-05-09 17:00:29.739,153739,0
2017-05-09 17:00:29.839,153839,0
2017-05-09 17:00:29.939,153939,0
2017-05-09 17:00:30.039,154039,0
2017-05-09 17:00:30.139,154139,0
2017-05-09 17:00:30.239,154239,0
2017-05-09 17:00:30.339,154339,0
2017-05-09 17:00:30.439,154439,0
2017-05-09 17:00:30.539,154539,0
2017-05-09 17:00:30.639,154639,0
2017-05-09 17:00:30.739,154739,0
2017-05-09 17:00:30.839,154839,0
2017-05-09 17:00:30.939,154939,0
2017-05-09 17:00:31.039,155039,0
2017-05-09 17:00:31.139,155139,0
2017-05-09 17:00:31.239,155239,0
2017-05-09 17:00:31.339,155339,0
2017-05-09 17:00:31.439,155439,0
2017-05-09 17:00:31.539,155539,0
2017-05-09 17:00:31.639,155639,0
2017-05-09 17:00:31.739,155739,0
2017-05-09 17:00:31.839,155839,0
2017-05-09 17:00:31.939,155939,0
2017-05-09 17:00:32.039,156039,0
2017-05-09 17:00:32.139,156139,0
2017-05-09 17:00:32.239,156239,0
2017-05-09 17:00:32.339,156339,0
2017-05-09 17:00:32.439,156439,0
2017-05-09 17:00:32.539,156539,0
2017-05-09 17:00:32.639,156639,0
2017-05-09 17:00:32.739,156739,0
2017-05-09 17:00:32.839,156839,0
2017-05-09 17:00:32.939,156939,0
2017-05-09 17:00:33.039,157039,0
2017-05-09 17:00:33.139,157139,0
2017-05-09 17:00:33.239,157239,0
2017-05-09 17:00:33.339,157339,0
2017-05-09 17:00:33.439,157439,0
2017-05-09 17:00:33.539,157539,0
2017-05-09 17:00:33.639,157639,0
2017-05-09 17:00:33.739,157739,0
2017-05-09 17:00:33.839,157839,0
2017-05-09 17:00:33.939,157939,0
2017-05-09 17:00:34.039,158039,0
2017-05-09 17:00:34.139,158139,0
2017-05-09 17:00:34.239,158239,0
2017-05-09 17:00:34.339,158339,0
2017-05-09 17:00:34.439,158439,0
2017-05-09 17:00:34.539,158539,0
2017-05-09 17:00:34.639,158639,0
2017-05-09 17:00:34.739,158739,0
2017-05-09 17:00:34.839,158839,0
2017-05-09 17:00:34.939,158939,0
2017-05-09 17:00:35.039,159039,0
2017-05-09 17:00:35.139,159139,0
2017-05-09 17:00:35.239,159239,0
2017-05-09 17:00:35.339,159339,0
2017-05-09 17:00:35.439,159439,0
2017-05-09 17:00:35.539,159539,0
2017-05-09 17:00:35.639,159639,0
2017-05-09 17:00:35.739,159739,0
2017-05-09 17:00:35.839,159839,0
2017-05-09 17:00:35.939,159939,0
2017-05-09 17:00:36.039,160039,0
2017-05-09 17:00:36.139,160139,0
2017-05-09 17:00:36.239,160239,0
2017-05-09 17:00:36.339,160339,0
2017-05-09 17:00:36.439,160439,0
2017-05-09 17:00:36.539,160539,0
2017-05-09 17:00:36.639,160639,0
2017-05-09 17:00:36.739,160739,0
2017-05-09 17:00:36.839,160839,0
2017-05-09 17:00:36.939,160939,0
2017-05-09 17:00:37.039,161039,0
2017-05-09 17:00:37.139,161139,0
2017-05-09 17:00:37.239,161239,0
2017-05-09 17:00:37.339,161339,0
2017-05-09 17:00:37.439,161439,0
2017-05-09 17:00:37.539,161539,0
2017-05-09 17:00:37.639,161639,0
2017-05-09 17:00:37.739,161739,0
2017-05-09 17:00:37.839,161839,0
2017-05-09 17:00:37.939,161939,0
2017-05-09 17:00:38.039,162039,0
2017-05-09 17:00:38.139,162139,0
2017-05-09 17:00:38.239,162239,0
2017-05-09 17:00:38.339,162339,0
2017-05-09 17:00:38.439,162439,0
2017-05-09 17:00:38.539,162539,0
2017-05-09 17:00:38.639,162639,0
2017-05-09 17:00:38.739,162739,0
2017-05-09 17:00:38.839,162839,0
2017-05-09 17:00:38.939,162939,0
2017-05-09 17:00:39.039,163039,0
2017-05-09 17:00:39.139,163139,0
2017-05-09 17:00:39.239,163239,0
2017-05-09 17:00:39.339,163339,0
2017-05-09 17:00:39.439,163439,0
2017-05-09 17:00:39.539,163539,0
2017-05-09 17:00:39.639,163639,0
2017-05-09 17:00:39.739,163739,0
2017-05-09 17:00:39.839,163839,0
2017-05-09 17:00:39.939,163939,0
2017-05-09 17:00:40.039,164039,0
2017-05-09 17:00:40.139,164139,0
2017-05-09 17:00:40.239,164239,0
2017-05-09 17:00:40.339,164339,0
2017-05-09 17:00:40.439,164439,0
2017-05-09 17:00:40.539,164539,0
2017-05-09 17:00:40.639,164639,0
2017-05-09 17:00:40.739,164739,0
2017-05-09 17:00:40.839,164839,0
2017-05-09 17:00:40.939,164939,0
2017-05-09 17:00:41.039,165039,0
2017-05-09 17:00:41.139,165139,0
2017-05-09 17:00:41.239,165239,0
2017-05-09 17:00:41.339,165339,0
2017-05-09 17:00:41.439,165439,0
2017-05-09 17:00:41.539,165539,0
2017-05-09 17:00:41.639,165639,0
2017-05-09 17:00:41.739,165739,0
2017-05-09 17:00:41.839,165839,0
2017-05-09 17:00:41.939,165939,0
2017-05-09 17:00:42.039,166039,0
2017-05-09 17:00:42.139,166139,0
2017-05-09 17:00:42.239,166239,0
2017-05-09 17:00:42.339,166339,0
2017-05-09 17:00:42.439,166439,0
2017-05-09 17:00:42.539,166539,0
2017-05-09 17:00:42.639,166639,0
2017-05-09 17:00:42.739,166739,0
2017-05-09 17:00:42.839,166839,0
2017-05-09 17:00:42.939,166939,0
2017-05-09 17:00:43.039,167039,0
2017-05-09 17:00:43.139,167139,0
2017-05-09 17:00:43.239,167239,0
2017-05-09 17:00:43.339,167339,0
2017-05-09 17:00:43.439,167439,0
2017-05-09 17:00:43.539,167539,0
2017-05-09 17:00:43.639,167639,0
2017-05-09 17:00:43.739,167739,0
2017-05-09 17:00:43.839,167839,0
2017-05-09 17:00:43.939,167939,0
2017-05-09 17:00:44.039,168039,0
2017-05-09 17:00:44.139,168139,0
2017-05-09 17:00:44.239,168239,0
2017-05-09 17:00:44.339,168339,0
2017-05-09 17:00:44.439,168439,0
2017-05-09 17:00:44.539,168539,0
2017-05-09 17:00:44.639,168639,0
2017-05-09 17:00:44.739,168739,0
2017-05-09 17:00:44.839,168839,0
2017-05-09 17:00:44.939,168939,0
2017-05-09 17:00:45.039,169039,0
2017-05-09 17:00:45.139,169139,0
2017-05-09 17:00:45.239,169239,0
2017-05-09 17:00:45.339,169339,0
2017-05-09 17:00:45.439,169439,0
2017-05-09 17:00:45.539,169539,0
2017-05-09 17:00:45.639,169639,0
2017-05-09 17:00:45.739,169739,0
2017-05-09 17:00:45.839,169839,0
2017-05-09 17:00:45.939,169939,0
2017-05-09 17:00:46.039,170039,0
2017-05-09 17:00:46.139,170139,0
2017-05-09 17:00:46.239,170239,0
2017-05-09 17:00:46.339,170339,0
2017-05-09 17:00:46.439,170439,0
2017-05-09 17:00:46.539,170539,0
2017-05-09 17:00:46.639,170639,0
