,RealTime,HostTimestamp (ms),NodeName,NodeTimestamp,RawData,X (mg),Y (mg),Z (mg)
,2017-05-09 17:00:06.262,130262,WeSU @31A190,1449,35FFCDFFCA03,-203,-51,970
,2017-05-09 17:00:06.360,130360,WeSU @31A190,1450,35FFCDFFCC03,-203,-51,972
,2017-05-09 17:00:06.457,130457,WeSU @31A190,1451,35FFCDFFCB03,-203,-51,971
,2017-05-09 17:00:06.571,130571,WeSU @31A190,1452,34FFCDFFCE03,-204,-51,974
,2017-05-09 17:00:06.652,130652,WeSU @31A190,1453,33FFCEFFCC03,-205,-50,972
,2017-05-09 17:00:06.750,130750,WeSU @31A190,1454,33FFCDFFCA03,-205,-51,970
,2017-05-09 17:00:06.863,130863,WeSU @31A190,1455,38FFCFFFCB03,-200,-49,971
,2017-05-09 17:00:06.961,130961,WeSU @31A190,1456,33FFCBFFCC03,-205,-53,972
,2017-05-09 17:00:07.058,131058,WeSU @31A190,1457,36FFCEFFCC03,-202,-50,972
,2017-05-09 17:00:07.172,131172,WeSU @31A190,1458,34FFCCFFC903,-204,-52,969
,2017-05-09 17:00:07.254,131254,WeSU @31A190,1459,37FFCEFFCD03,-201,-50,973
,2017-05-09 17:00:07.351,131351,WeSU @31A190,1460,37FFCBFFCA03,-201,-53,970
,2017-05-09 17:00:07.465,131465,WeSU @31A190,1461,35FFD0FFCB03,-203,-48,971
,2017-05-09 17:00:07.562,131562,WeSU @31A190,1462,35FFCEFFCC03,-203,-50,972
,2017-05-09 17:00:07.660,131660,WeSU @31A190,1463,35FFCCFFCC03,-203,-52,972
,2017-05-09 17:00:07.757,131757,WeSU @31A190,1464,35FFCFFFCB03,-203,-49,971
,2017-05-09 17:00:07.855,131855,WeSU @31A190,1465,33FFCDFFCB03,-205,-51,971
,2017-05-09 17:00:07.952,131952,WeSU @31A190,1466,36FFCEFFCC03,-202,-50,972
,2017-05-09 17:00:08.049,132049,WeSU @31A190,1467,36FFCFFFCC03,-202,-49,972
,2017-05-09 17:00:08.163,132163,WeSU @31A190,1468,35FFD0FFC903,-203,-48,969
,2017-05-09 17:00:08.277,132277,WeSU @31A190,1469,35FFCDFFCA03,-203,-51,970
,2017-05-09 17:00:08.359,132359,WeSU @31A190,1470,35FFCCFFCA03,-203,-52,970
,2017-05-09 17:00:08.456,132456,WeSU @31A190,1471,36FFD0FFCC03,-202,-48,972
,2017-05-09 17:00:08.553,132553,WeSU @31A190,1472,36FFCFFFCA03,-202,-49,970
,2017-05-09 17:00:08.651,132651,WeSU @31A190,1473,35FFCDFFCC03,-203,-51,972
,2017-05-09 17:00:08.749,132749,WeSU @31A190,1474,37FFCEFFCC03,-201,-50,972
,2017-05-09 17:00:08.862,132862,WeSU @31A190,1475,34FFCEFFC803,-204,-50,968
,2017-05-09 17:00:08.960,132960,WeSU @31A190,1476,36FFCFFFCE03,-202,-49,974
,2017-05-09 17:00:09.057,133057,WeSU @31A190,1477,35FFCDFFCA03,-203,-51,970
