RealTime,HostTimestamp (ms),Head Turning
2017-05-09 17:00:00.011,124011,0
2017-05-09 17:00:00.108,124108,0
2017-05-09 17:00:00.206,124206,0
2017-05-09 17:00:00.304,124304,0
2017-05-09 17:00:00.402,124402,0
2017-05-09 17:00:00.515,124515,0
2017-05-09 17:00:00.612,124612,0
2017-05-09 17:00:00.710,124710,0
2017-05-09 17:00:00.807,124807,0
2017-05-09 17:00:00.904,124904,0
2017-05-09 17:00:01.002,125002,0
2017-05-09 17:00:01.116,125116,0
2017-05-09 17:00:01.213,125213,0
2017-05-09 17:00:01.311,125311,0
2017-05-09 17:00:01.408,125408,0
2017-05-09 17:00:01.506,125506,0
2017-05-09 17:00:01.603,125603,0
2017-05-09 17:00:01.702,125702,0
2017-05-09 17:00:01.815,125815,0
2017-05-09 17:00:01.912,125912,0
2017-05-09 17:00:02.010,126010,0
2017-05-09 17:00:02.107,126107,0
2017-05-09 17:00:02.205,126205,0
2017-05-09 17:00:02.302,126302,0
2017-05-09 17:00:02.416,126416,0
2017-05-09 17:00:02.514,126514,0
2017-05-09 17:00:02.611,126611,0
2017-05-09 17:00:02.708,126708,0
2017-05-09 17:00:02.806,126806,0
2017-05-09 17:00:02.904,126904,0
2017-05-09 17:00:03.002,127002,0
2017-05-09 17:00:03.115,127115,0
2017-05-09 17:00:03.358,127358,0
2017-05-09 17:00:03.423,127423,0
2017-05-09 17:00:03.521,127521,0
2017-05-09 17:00:03.619,127619,0
2017-05-09 17:00:03.717,127717,0
2017-05-09 17:00:03.814,127814,0
2017-05-09 17:00:03.943,127943,0
2017-05-09 17:00:04.041,128041,0
2017-05-09 17:00:04.139,128139,0
2017-05-09 17:00:04.237,128237,0
2017-05-09 17:00:04.350,128350,0
2017-05-09 17:00:04.447,128447,0
2017-05-09 17:00:04.545,128545,0
2017-05-09 17:00:04.642,128642,0
2017-05-09 17:00:04.740,128740,0
2017-05-09 17:00:04.837,128837,0
2017-05-09 17:00:04.951,128951,0
2017-05-09 17:00:05.049,129049,0
2017-05-09 17:00:05.146,129146,0
2017-05-09 17:00:05.244,129244,0
2017-05-09 17:00:05.341,129341,0
2017-05-09 17:00:05.439,129439,0
2017-05-09 17:00:05.537,129537,0
2017-05-09 17:00:05.650,129650,0
2017-05-09 17:00:05.747,129747,0
2017-05-09 17:00:05.845,129845,0
2017-05-09 17:00:05.942,129942,0
2017-05-09 17:00:06.040,130040,0
2017-05-09 17:00:06.137,130137,0
2017-05-09 17:00:06.251,130251,0
2017-05-09 17:00:06.349,130349,0
2017-05-09 17:00:06.446,130446,0
2017-05-09 17:00:06.544,130544,0
2017-05-09 17:00:06.641,130641,0
2017-05-09 17:00:06.739,130739,0
2017-05-09 17:00:06.837,130837,0
2017-05-09 17:00:06.950,130950,0
2017-05-09 17:00:07.048,131048,0
2017-05-09 17:00:07.145,131145,0
2017-05-09 17:00:07.243,131243,0
2017-05-09 17:00:07.340,131340,0
2017-05-09 17:00:07.437,131437,0
2017-05-09 17:00:07.551,131551,0
2017-05-09 17:00:07.649,131649,0
2017-05-09 17:00:07.746,131746,0
2017-05-09 17:00:07.844,131844,0
2017-05-09 17:00:07.942,131942,0
2017-05-09 17:00:08.039,132039,0
2017-05-09 17:00:08.137,132137,0
2017-05-09 17:00:08.250,132250,0
2017-05-09 17:00:08.347,132347,0
2017-05-09 17:00:08.445,132445,0
2017-05-09 17:00:08.543,132543,0
2017-05-09 17:00:08.640,132640,0
2017-05-09 17:00:08.737,132737,0
2017-05-09 17:00:08.851,132851,0
2017-05-09 17:00:08.949,132949,0
2017-05-09 17:00:09.046,133046,0
2017-05-09 17:00:09.144,133144,0
2017-05-09 17:00:09.241,133241,0
2017-05-09 17:00:09.339,133339,0
2017-05-09 17:00:09.437,133437,0
2017-05-09 17:00:09.550,133550,0
2017-05-09 17:00:09.647,133647,0
2017-05-09 17:00:09.745,133745,0
2017-05-09 17:00:09.842,133842,0
2017-05-09 17:00:09.940,133940,0
2017-05-09 17:00:10.038,134038,0
2017-05-09 17:00:10.151,134151,0
2017-05-09 17:00:10.249,134249,0
2017-05-09 17:00:10.346,134346,0
2017-05-09 17:00:10.444,134444,0
2017-05-09 17:00:10.541,134541,0
2017-05-09 17:00:10.639,134639,0
2017-05-09 17:00:10.736,134736,0
2017-05-09 17:00:10.850,134850,0
2017-05-09 17:00:10.947,134947,0
2017-05-09 17:00:11.045,135045,0
2017-05-09 17:00:11.142,135142,0
2017-05-09 17:00:11.240,135240,0
2017-05-09 17:00:11.337,135337,0
2017-05-09 17:00:11.451,135451,0
2017-05-09 17:00:11.549,135549,0
2017-05-09 17:00:11.646,135646,0
2017-05-09 17:00:11.744,135744,0
2017-05-09 17:00:11.841,135841,0
2017-05-09 17:00:11.939,135939,0
2017-05-09 17:00:12.036,136036,0
2017-05-09 17:00:12.151,136151,0
2017-05-09 17:00:12.248,136248,0
2017-05-09 17:00:12.345,136345,0
2017-05-09 17:00:12.442,136442,0
2017-05-09 17:00:12.540,136540,0
2017-05-09 17:00:12.637,136637,0
2017-05-09 17:00:12.751,136751,0
2017-05-09 17:00:12.849,136849,0
2017-05-09 17:00:12.946,136946,0
2017-05-09 17:00:13.044,137044,0
2017-05-09 17:00:13.141,137141,0
2017-05-09 17:00:13.239,137239,0
2017-05-09 17:00:13.336,137336,0
2017-05-09 17:00:13.450,137450,0
2017-05-09 17:00:13.547,137547,0
2017-05-09 17:00:13.645,137645,0
2017-05-09 17:00:13.742,137742,0
2017-05-09 17:00:13.840,137840,0
2017-05-09 17:00:13.970,137970,0
2017-05-09 17:00:14.068,138068,0
2017-05-09 17:00:14.165,138165,0
2017-05-09 17:00:14.262,138262,0
2017-05-09 17:00:14.360,138360,0
2017-05-09 17:00:14.458,138458,0
2017-05-09 17:00:14.571,138571,0
2017-05-09 17:00:14.669,138669,0
2017-05-09 17:00:14.766,138766,0
2017-05-09 17:00:14.864,138864,0
2017-05-09 17:00:14.961,138961,0
2017-05-09 17:00:15.059,139059,0
2017-05-09 17:00:15.173,139173,0
2017-05-09 17:00:15.270,139270,0
2017-05-09 17:00:15.367,139367,0
2017-05-09 17:00:15.465,139465,0
2017-05-09 17:00:15.563,139563,0
2017-05-09 17:00:15.660,139660,0
2017-05-09 17:00:15.758,139758,0
2017-05-09 17:00:15.871,139871,0
2017-05-09 17:00:15.969,139969,0
2017-05-09 17:00:16.066,140066,0
2017-05-09 17:00:16.165,140165,0
2017-05-09 17:00:16.261,140261,0
2017-05-09 17:00:16.359,140359,0
2017-05-09 17:00:16.473,140473,0
2017-05-09 17:00:16.570,140570,0
2017-05-09 17:00:16.668,140668,0
2017-05-09 17:00:16.765,140765,0
2017-05-09 17:00:16.863,140863,0
2017-05-09 17:00:16.960,140960,0
2017-05-09 17:00:17.058,141058,0
2017-05-09 17:00:17.171,141171,0
2017-05-09 17:00:17.269,141269,0
2017-05-09 17:00:17.367,141367,0
2017-05-09 17:00:17.464,141464,0
2017-05-09 17:00:17.562,141562,0
2017-05-09 17:00:17.659,141659,0
2017-05-09 17:00:17.773,141773,0
2017-05-09 17:00:17.870,141870,0
2017-05-09 17:00:17.968,141968,0
2017-05-09 17:00:18.065,142065,0
2017-05-09 17:00:18.163,142163,0
2017-05-09 17:00:18.260,142260,0
2017-05-09 17:00:18.358,142358,0
2017-05-09 17:00:18.472,142472,0
2017-05-09 17:00:18.569,142569,0
2017-05-09 17:00:18.667,142667,0
2017-05-09 17:00:18.764,142764,0
2017-05-09 17:00:18.862,142862,0
2017-05-09 17:00:18.959,142959,0
2017-05-09 17:00:19.073,143073,0
2017-05-09 17:00:19.170,143170,0
2017-05-09 17:00:19.268,143268,0
2017-05-09 17:00:19.365,143365,0
2017-05-09 17:00:19.463,143463,0
2017-05-09 17:00:19.560,143560,0
2017-05-09 17:00:19.658,143658,0
2017-05-09 17:00:19.771,143771,0
2017-05-09 17:00:19.869,143869,0
2017-05-09 17:00:19.966,143966,0
2017-05-09 17:00:20.065,144065,0
2017-05-09 17:00:20.161,144161,0
2017-05-09 17:00:20.259,144259,0
2017-05-09 17:00:20.373,144373,0
2017-05-09 17:00:20.470,144470,0
2017-05-09 17:00:20.568,144568,0
2017-05-09 17:00:20.666,144666,0
2017-05-09 17:00:20.763,144763,0
2017-05-09 17:00:20.860,144860,0
2017-05-09 17:00:20.958,144958,0
2017-05-09 17:00:21.071,145071,0
2017-05-09 17:00:21.169,145169,0
2017-05-09 17:00:21.267,145267,0
2017-05-09 17:00:21.364,145364,0
2017-05-09 17:00:21.461,145461,0
2017-05-09 17:00:21.559,145559,0
2017-05-09 17:00:21.673,145673,0
2017-05-09 17:00:21.771,145771,0
2017-05-09 17:00:21.868,145868,0
2017-05-09 17:00:21.965,145965,0
2017-05-09 17:00:22.062,146062,0
2017-05-09 17:00:22.160,146160,0
2017-05-09 17:00:22.258,146258,0
2017-05-09 17:00:22.372,146372,0
2017-05-09 17:00:22.469,146469,0
2017-05-09 17:00:22.567,146567,0
2017-05-09 17:00:22.664,146664,0
2017-05-09 17:00:22.761,146761,0
2017-05-09 17:00:22.859,146859,0
2017-05-09 17:00:22.973,146973,0
2017-05-09 17:00:23.071,147071,0
2017-05-09 17:00:23.168,147168,0
2017-05-09 17:00:23.265,147265,0
2017-05-09 17:00:23.363,147363,0
2017-05-09 17:00:23.460,147460,0
2017-05-09 17:00:23.558,147558,0
2017-05-09 17:00:23.672,147672,0
2017-05-09 17:00:23.769,147769,0
2017-05-09 17:00:23.867,147867,0
2017-05-09 17:00:23.997,147997,0
2017-05-09 17:00:24.094,148094,0
2017-05-09 17:00:24.192,148192,0
2017-05-09 17:00:24.289,148289,0
2017-05-09 17:00:24.387,148387,0
2017-05-09 17:00:24.484,148484,0
2017-05-09 17:00:24.582,148582,0
2017-05-09 17:00:24.695,148695,0
2017-05-09 17:00:24.793,148793,0
2017-05-09 17:00:24.890,148890,0
2017-05-09 17:00:24.988,148988,0
2017-05-09 17:00:25.085,149085,0
2017-05-09 17:00:25.183,149183,0
2017-05-09 17:00:25.281,149281,0
2017-05-09 17:00:25.394,149394,0
2017-05-09 17:00:25.492,149492,0
2017-05-09 17:00:25.589,149589,0
2017-05-09 17:00:25.687,149687,0
2017-05-09 17:00:25.784,149784,0
2017-05-09 17:00:25.881,149881,0
2017-05-09 17:00:25.995,149995,0
2017-05-09 17:00:26.092,150092,0
2017-05-09 17:00:26.190,150190,0
2017-05-09 17:00:26.288,150288,0
2017-05-09 17:00:26.385,150385,0
2017-05-09 17:00:26.483,150483,0
2017-05-09 17:00:26.580,150580,0
2017-05-09 17:00:26.694,150694,0
2017-05-09 17:00:26.792,150792,0
2017-05-09 17:00:26.889,150889,0
2017-05-09 17:00:26.987,150987,0
2017-05-09 17:00:27.084,151084,0
2017-05-09 17:00:27.182,151182,0
2017-05-09 17:00:27.296,151296,0
2017-05-09 17:00:27.393,151393,0
2017-05-09 17:00:27.490,151490,0
2017-05-09 17:00:27.588,151588,0
2017-05-09 17:00:27.685,151685,0
2017-05-09 17:00:27.783,151783,0
2017-05-09 17:00:27.881,151881,0
2017-05-09 17:00:27.994,151994,0
2017-05-09 17:00:28.092,152092,0
2017-05-09 17:00:28.189,152189,0
2017-05-09 17:00:28.287,152287,0
2017-05-09 17:00:28.385,152385,0
2017-05-09 17:00:28.482,152482,0
2017-05-09 17:00:28.596,152596,0
2017-05-09 17:00:28.693,152693,0
2017-05-09 17:00:28.791,152791,0
2017-05-09 17:00:28.888,152888,0
2017-05-09 17:00:28.985,152985,0
2017-05-09 17:00:29.083,153083,0
2017-05-09 17:00:29.180,153180,0
2017-05-09 17:00:29.294,153294,0
2017-05-09 17:00:29.392,153392,0
2017-05-09 17:00:29.489,153489,0
2017-05-09 17:00:29.587,153587,0
2017-05-09 17:00:29.700,153700,0
2017-05-09 17:00:29.782,153782,0
2017-05-09 17:00:29.896,153896,0
2017-05-09 17:00:29.993,153993,0
2017-05-09 17:00:30.091,154091,0
2017-05-09 17:00:30.188,154188,0
2017-05-09 17:00:30.286,154286,0
